Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism,self_regulation,CCT_cold_avg
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,1,4.6,5,3.62,4.33,2.25,248.85,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,2,4.3,5,3.62,4.11,2.12,248.85,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,3,4.6,5,3.62,4,2.12,250.11,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,1,4.3,4.78,3.5,4,2,246.96,16.2962963
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,2,4.7,5,3.62,4.22,2.25,243.81,16.62962963
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,3,4.5,5,3.62,4.11,2.25,243.81,15.77777778
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,1,4.3,4.89,3.62,4.22,2.75,250.11,15.40740741
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,2,4.2,4.78,4,4.11,2.38,252,14.74074074
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,3,4.5,4.89,3.62,4,2.38,241.29,13.77777778
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,1,4.3,4.89,3.5,4,2.12,241.29,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,2,4.3,5,3.5,4.11,2.12,243.81,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,3,4.2,5,3.5,4.22,2,240.03,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,1,4.3,5,3.5,4.22,2,246.96,15.85185185
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,2,4.2,4.89,3.75,3.89,2.25,250.11,16.37037037
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,3,4,4.89,3.38,4.11,2.12,243.18,16.33333333
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,1,4,4.56,3.5,4.22,1.75,243.81,16.62962963
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,2,4.3,5,3.75,4.22,2,240.03,16.14814815
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,3,3.9,4.89,3.25,4.11,2.25,245.07,14.7037037
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,1,4.3,4.89,3.62,4.11,2,243.18,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,2,4.4,4.89,3.62,4.44,2.12,245.07,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,3,4.3,4.89,3.62,4.22,2,241.29,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,1,4.4,4.89,3.38,4.56,2.38,248.22,15.85185185
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,2,4.2,4.67,3.5,4.11,2,236.25,16.22222222
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,3,4.3,5,3.38,4,2.25,245.07,15.85185185
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,1,4.3,5,3.5,4.22,2.38,245.7,17.48148148
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,2,4.1,4.89,3.5,3.78,2.25,248.22,15.48148148
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,3,4.4,4.78,3.25,4.11,2.38,243.81,16.2962963
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,1,3.1,4.78,3.12,3.22,2.5,260.19,29
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,2,3.1,4.78,3,3.22,2.5,260.19,29
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.3,3,3.1,4.78,3,3.22,2.5,260.19,29
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,1,3.1,4.78,3.12,3.22,2.38,262.08,27.92592593
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,2,3.1,4.78,3.25,3.22,2.5,262.08,28.07407407
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",0.7,3,3.1,4.78,3.25,3.22,2.38,260.82,29
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,1,3.1,4.67,3,3.22,2.62,258.93,28.14814815
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,2,3.1,4.67,3.12,3.22,2.5,255.78,26.81481481
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,1,"For the following task, respond in a way that matches this description: I’m disciplined, persistent, goal-oriented.",1,3,3.1,4.78,3.12,3.22,2.5,260.19,27.2962963
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,1,3,4.78,3.12,3.44,2.12,260.82,24.96296296
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,2,3,4.78,3.12,3.44,2,260.82,24.74074074
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.3,3,3,4.78,3.12,3.44,1.88,262.71,24.03703704
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,1,3,4.78,3,3.44,2.12,265.23,25.37037037
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,2,3,4.78,3.12,3.44,2,262.08,23.88888889
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",0.7,3,3,4.78,3.12,3.44,2.12,265.86,22.92592593
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,1,3,4.78,3,3.44,2,265.23,21.44444444
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,2,3,4.78,3.12,3.44,2,262.08,25.40740741
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,2,"For the following task, respond in a way that matches this description: I’m disciplined, goal-oriented, focused.",1,3,3,4.78,3,3.44,2.25,260.19,23.85185185
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,1,3,4.67,3,3.22,2.12,257.04,20.7037037
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,2,2.9,4.67,3,3.22,2.12,255.78,20
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.3,3,2.9,4.67,3,3.22,2.25,255.78,22.40740741
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,1,2.9,4.67,3,3.22,2.25,253.89,21.14814815
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,2,2.9,4.67,3,3.44,2.25,258.3,21.85185185
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",0.7,3,2.9,4.67,3,3.22,2.38,257.04,19.77777778
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,1,3,4.67,3,3.44,2.12,258.3,19.51851852
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation2,3,"For the following task, respond in a way that matches this description: I’m disciplined, organized, focused.",1,2,2.9,4.67,3,3.44,2.25,255.78,21.74074074
