Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism,self_regulation,CCT_cold_avg
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.3,1,4.3,4.56,3.88,4.22,2.38,243.18,16.77777778
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.3,2,4.4,4.56,3.88,4.22,2.38,245.07,16.37037037
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.3,3,4.3,4.56,4,4.11,2.38,248.22,16.48148148
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.7,1,4.4,4.67,4,4.11,2.38,241.92,17.51851852
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.7,2,4.5,4.44,4.12,3.89,2.88,243.81,19.74074074
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.7,3,4.2,4.67,4,4.33,2.25,245.7,19.03703704
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",1,1,4.2,4.56,3.75,3.67,2.62,240.03,20
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",1,2,4.3,4.33,3.25,3.89,2.62,238.14,18.62962963
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",1,3,4.2,4.67,4.12,4.22,2.38,241.92,18.03703704
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,2,"You are a character who is disciplined, goal-oriented, focused.",0.3,1,4.3,4.56,4,4.22,2.12,243.81,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,2,"You are a character who is disciplined, goal-oriented, focused.",0.3,2,4.3,4.56,3.88,4.22,2.12,245.07,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,2,"You are a character who is disciplined, goal-oriented, focused.",0.3,3,4.4,4.33,4,4.22,2.12,245.7,16.2962963
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,2,"You are a character who is disciplined, goal-oriented, focused.",0.7,1,4.3,4.78,4,4.11,2.25,245.07,16.44444444
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,2,"You are a character who is disciplined, goal-oriented, focused.",0.7,2,4.3,4.67,3.62,4.11,2.62,243.81,19.88888889
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,2,"You are a character who is disciplined, goal-oriented, focused.",0.7,3,4.3,4.67,3.88,4.11,2.25,248.22,17.85185185
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,2,"You are a character who is disciplined, goal-oriented, focused.",1,1,4.2,4.67,3.38,4.11,2.38,248.22,17.48148148
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,2,"You are a character who is disciplined, goal-oriented, focused.",1,2,4.1,4.56,3.88,3.89,2,241.92,15.11111111
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,2,"You are a character who is disciplined, goal-oriented, focused.",1,3,4.2,4.44,3.25,3.78,2.38,248.22,17.55555556
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,3,"You are a character who is disciplined, organized, focused.",0.3,1,4.4,4.33,4,4.22,2,243.18,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,3,"You are a character who is disciplined, organized, focused.",0.3,2,4.3,4.44,3.88,4.22,2,246.96,16.48148148
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,3,"You are a character who is disciplined, organized, focused.",0.3,3,4.4,4.44,3.88,4.11,2.25,245.07,16
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,3,"You are a character who is disciplined, organized, focused.",0.7,1,4.4,4.56,4.12,4.33,2.5,245.07,18.96296296
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,3,"You are a character who is disciplined, organized, focused.",0.7,2,4.4,4.22,3.38,4,2.88,241.92,18.66666667
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,3,"You are a character who is disciplined, organized, focused.",0.7,3,4.2,4.44,3.88,4.22,2.38,246.96,17.37037037
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,3,"You are a character who is disciplined, organized, focused.",1,1,4.3,4.56,3.38,3.89,2.62,245.7,17.22222222
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,3,"You are a character who is disciplined, organized, focused.",1,2,4.3,4.67,4,3.89,2.62,245.07,17.40740741
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation1,3,"You are a character who is disciplined, organized, focused.",1,3,4.5,4.33,3.12,4.11,2.5,236.25,16
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.3,1,3.5,5,3.75,3.78,1.62,260.82,28.11111111
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.3,2,3.3,5,3.75,3.78,1.62,260.19,28.03703704
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.3,3,3.4,5,3.75,3.78,1.62,260.82,28.03703704
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.7,1,3.5,5,3.5,3.78,1.88,260.19,28.18518519
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.7,2,3.5,5,3.62,3.89,2,258.93,27.37037037
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",0.7,3,3.5,5,3.75,3.78,1.75,257.04,27.96296296
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",1,1,3.5,4.89,3.38,3.67,1.75,255.78,27
Qwen/Qwen2.5-7B-Instruct,instruct,self-regulation1,1,"You are a character who is disciplined, persistent, goal-oriented.",1,2,3.5,5,3.38,3.78,1.62,257.04,26.25925926
